game_id,fecha,local,visitante,estadio
823649,2026-03-26,New York Mets,Pittsburgh Pirates,Citi Field
823812,2026-03-26,Milwaukee Brewers,Chicago White Sox,American Family Field
824704,2026-03-26,Chicago Cubs,Washington Nationals,Wrigley Field
824865,2026-03-26,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards
824541,2026-03-26,Cincinnati Reds,Boston Red Sox,Great American Ball Park
824218,2026-03-26,Houston Astros,Los Angeles Angels,Daikin Park
823325,2026-03-26,San Diego Padres,Detroit Tigers,Petco Park
823081,2026-03-26,St. Louis Cardinals,Tampa Bay Rays,Busch Stadium
823486,2026-03-26,Philadelphia Phillies,Texas Rangers,Citizens Bank Park
823974,2026-03-26,Los Angeles Dodgers,Arizona Diamondbacks,UNIQLO Field at Dodger Stadium
823163,2026-03-26,Seattle Mariners,Cleveland Guardians,T-Mobile Park
823243,2026-03-27,San Francisco Giants,New York Yankees,Oracle Park
822839,2026-03-27,Toronto Blue Jays,Athletics,Rogers Centre
823893,2026-03-27,Miami Marlins,Colorado Rockies,loanDepot park
824946,2026-03-27,Atlanta Braves,Kansas City Royals,Truist Park
824216,2026-03-27,Houston Astros,Los Angeles Angels,Daikin Park
823324,2026-03-27,San Diego Padres,Detroit Tigers,Petco Park
823162,2026-03-27,Seattle Mariners,Cleveland Guardians,T-Mobile Park
823971,2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,UNIQLO Field at Dodger Stadium
823082,2026-03-28,St. Louis Cardinals,Tampa Bay Rays,Busch Stadium
824701,2026-03-28,Chicago Cubs,Washington Nationals,Wrigley Field
822838,2026-03-28,Toronto Blue Jays,Athletics,Rogers Centre
824862,2026-03-28,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards
823488,2026-03-28,Philadelphia Phillies,Texas Rangers,Citizens Bank Park
824540,2026-03-28,Cincinnati Reds,Boston Red Sox,Great American Ball Park
823651,2026-03-28,New York Mets,Pittsburgh Pirates,Citi Field
823892,2026-03-28,Miami Marlins,Colorado Rockies,loanDepot park
824213,2026-03-28,Houston Astros,Los Angeles Angels,Daikin Park
823811,2026-03-28,Milwaukee Brewers,Chicago White Sox,American Family Field
824945,2026-03-28,Atlanta Braves,Kansas City Royals,Truist Park
823241,2026-03-28,San Francisco Giants,New York Yankees,Oracle Park
823323,2026-03-28,San Diego Padres,Detroit Tigers,Petco Park
823973,2026-03-28,Los Angeles Dodgers,Arizona Diamondbacks,UNIQLO Field at Dodger Stadium
823161,2026-03-28,Seattle Mariners,Cleveland Guardians,T-Mobile Park
824864,2026-03-29,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards
823487,2026-03-29,Philadelphia Phillies,Texas Rangers,Citizens Bank Park
824944,2026-03-29,Atlanta Braves,Kansas City Royals,Truist Park
822837,2026-03-29,Toronto Blue Jays,Athletics,Rogers Centre
824538,2026-03-29,Cincinnati Reds,Boston Red Sox,Great American Ball Park
823647,2026-03-29,New York Mets,Pittsburgh Pirates,Citi Field
823891,2026-03-29,Miami Marlins,Colorado Rockies,loanDepot park
824215,2026-03-29,Houston Astros,Los Angeles Angels,Daikin Park
823810,2026-03-29,Milwaukee Brewers,Chicago White Sox,American Family Field
823079,2026-03-29,St. Louis Cardinals,Tampa Bay Rays,Busch Stadium
824700,2026-03-29,Chicago Cubs,Washington Nationals,Wrigley Field
823160,2026-03-29,Seattle Mariners,Cleveland Guardians,T-Mobile Park
824135,2026-03-30,Kansas City Royals,Minnesota Twins,Kauffman Stadium
824863,2026-03-30,Baltimore Orioles,Texas Rangers,Oriole Park at Camden Yards
824539,2026-03-30,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park
823484,2026-03-30,Philadelphia Phillies,Washington Nationals,Citizens Bank Park
823890,2026-03-30,Miami Marlins,Chicago White Sox,loanDepot park
822834,2026-03-30,Toronto Blue Jays,Colorado Rockies,Rogers Centre
824943,2026-03-30,Atlanta Braves,Athletics,Truist Park
824702,2026-03-30,Chicago Cubs,Los Angeles Angels,Wrigley Field
823809,2026-03-30,Milwaukee Brewers,Tampa Bay Rays,American Family Field
823080,2026-03-30,St. Louis Cardinals,New York Mets,Busch Stadium
824214,2026-03-30,Houston Astros,Boston Red Sox,Daikin Park
823320,2026-03-30,San Diego Padres,San Francisco Giants,Petco Park
823159,2026-03-30,Seattle Mariners,New York Yankees,T-Mobile Park
825108,2026-03-30,Arizona Diamondbacks,Detroit Tigers,Chase Field
823972,2026-03-30,Los Angeles Dodgers,Cleveland Guardians,UNIQLO Field at Dodger Stadium
824861,2026-03-31,Baltimore Orioles,Texas Rangers,Oriole Park at Camden Yards
824537,2026-03-31,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park
823485,2026-03-31,Philadelphia Phillies,Washington Nationals,Citizens Bank Park
823888,2026-03-31,Miami Marlins,Chicago White Sox,loanDepot park
822836,2026-03-31,Toronto Blue Jays,Colorado Rockies,Rogers Centre
824942,2026-03-31,Atlanta Braves,Athletics,Truist Park
824699,2026-03-31,Chicago Cubs,Los Angeles Angels,Wrigley Field
823807,2026-03-31,Milwaukee Brewers,Tampa Bay Rays,American Family Field
823077,2026-03-31,St. Louis Cardinals,New York Mets,Busch Stadium
824212,2026-03-31,Houston Astros,Boston Red Sox,Daikin Park
825107,2026-03-31,Arizona Diamondbacks,Detroit Tigers,Chase Field
823322,2026-03-31,San Diego Padres,San Francisco Giants,Petco Park
823158,2026-03-31,Seattle Mariners,New York Yankees,T-Mobile Park
823969,2026-03-31,Los Angeles Dodgers,Cleveland Guardians,UNIQLO Field at Dodger Stadium
824940,2026-04-01,Atlanta Braves,Athletics,Truist Park
824860,2026-04-01,Baltimore Orioles,Texas Rangers,Oriole Park at Camden Yards
824536,2026-04-01,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park
823483,2026-04-01,Philadelphia Phillies,Washington Nationals,Citizens Bank Park
822835,2026-04-01,Toronto Blue Jays,Colorado Rockies,Rogers Centre
823889,2026-04-01,Miami Marlins,Chicago White Sox,loanDepot park
823078,2026-04-01,St. Louis Cardinals,New York Mets,Busch Stadium
823806,2026-04-01,Milwaukee Brewers,Tampa Bay Rays,American Family Field
824211,2026-04-01,Houston Astros,Boston Red Sox,Daikin Park
824698,2026-04-01,Chicago Cubs,Los Angeles Angels,Wrigley Field
825106,2026-04-01,Arizona Diamondbacks,Detroit Tigers,Chase Field
823321,2026-04-01,San Diego Padres,San Francisco Giants,Petco Park
823157,2026-04-01,Seattle Mariners,New York Yankees,T-Mobile Park
824136,2026-04-01,Kansas City Royals,Minnesota Twins,Kauffman Stadium
823970,2026-04-01,Los Angeles Dodgers,Cleveland Guardians,UNIQLO Field at Dodger Stadium
824133,2026-04-02,Kansas City Royals,Minnesota Twins,Kauffman Stadium
825105,2026-04-02,Arizona Diamondbacks,Atlanta Braves,Chase Field
823242,2026-04-02,San Francisco Giants,New York Mets,Oracle Park
