game_id,game_date,season,home_team,away_team,home_score,away_score,venue
718780,2023-03-30,2023,Washington Nationals,Atlanta Braves,2,7,Nationals Park
718781,2023-03-30,2023,New York Yankees,San Francisco Giants,5,0,Yankee Stadium
718782,2023-03-30,2023,Boston Red Sox,Baltimore Orioles,9,10,Fenway Park
718777,2023-03-30,2023,Chicago Cubs,Milwaukee Brewers,4,0,Wrigley Field
718776,2023-03-30,2023,Tampa Bay Rays,Detroit Tigers,4,0,Tropicana Field
718779,2023-03-30,2023,Texas Rangers,Philadelphia Phillies,11,7,Globe Life Field
718773,2023-03-30,2023,Cincinnati Reds,Pittsburgh Pirates,4,5,Great American Ball Park
718772,2023-03-30,2023,St. Louis Cardinals,Toronto Blue Jays,9,10,Busch Stadium
718775,2023-03-30,2023,Kansas City Royals,Minnesota Twins,0,2,Kauffman Stadium
718774,2023-03-30,2023,Miami Marlins,New York Mets,3,5,loanDepot park
718768,2023-03-30,2023,Houston Astros,Chicago White Sox,2,3,Minute Maid Park
718778,2023-03-30,2023,San Diego Padres,Colorado Rockies,2,7,Petco Park
718769,2023-03-30,2023,Oakland Athletics,Los Angeles Angels,2,1,Oakland Coliseum
718770,2023-03-30,2023,Los Angeles Dodgers,Arizona Diamondbacks,8,2,Dodger Stadium
718767,2023-03-30,2023,Seattle Mariners,Cleveland Guardians,3,0,T-Mobile Park
718771,2023-03-31,2023,Miami Marlins,New York Mets,2,1,loanDepot park
718764,2023-03-31,2023,Houston Astros,Chicago White Sox,6,3,Minute Maid Park
718766,2023-03-31,2023,San Diego Padres,Colorado Rockies,1,4,Petco Park
718765,2023-03-31,2023,Los Angeles Dodgers,Arizona Diamondbacks,1,2,Dodger Stadium
718763,2023-03-31,2023,Seattle Mariners,Cleveland Guardians,4,9,T-Mobile Park
718760,2023-04-01,2023,Houston Astros,Chicago White Sox,6,4,Minute Maid Park
718759,2023-04-01,2023,St. Louis Cardinals,Toronto Blue Jays,4,1,Busch Stadium
718758,2023-04-01,2023,Chicago Cubs,Milwaukee Brewers,1,3,Wrigley Field
718752,2023-04-01,2023,Texas Rangers,Philadelphia Phillies,16,3,Globe Life Field
718753,2023-04-01,2023,Washington Nationals,Atlanta Braves,1,7,Nationals Park
718762,2023-04-01,2023,New York Yankees,San Francisco Giants,5,7,Yankee Stadium
718757,2023-04-01,2023,Oakland Athletics,Los Angeles Angels,1,13,Oakland Coliseum
718761,2023-04-01,2023,Boston Red Sox,Baltimore Orioles,9,8,Fenway Park
718756,2023-04-01,2023,Cincinnati Reds,Pittsburgh Pirates,6,2,Great American Ball Park
718754,2023-04-01,2023,Tampa Bay Rays,Detroit Tigers,12,2,Tropicana Field
718751,2023-04-01,2023,Kansas City Royals,Minnesota Twins,0,2,Kauffman Stadium
718755,2023-04-01,2023,Miami Marlins,New York Mets,2,6,loanDepot park
718750,2023-04-01,2023,San Diego Padres,Colorado Rockies,8,4,Petco Park
718749,2023-04-01,2023,Los Angeles Dodgers,Arizona Diamondbacks,10,1,Dodger Stadium
718746,2023-04-01,2023,Seattle Mariners,Cleveland Guardians,0,2,T-Mobile Park
718742,2023-04-02,2023,Tampa Bay Rays,Detroit Tigers,5,1,Tropicana Field
718748,2023-04-02,2023,Boston Red Sox,Baltimore Orioles,9,5,Fenway Park
718743,2023-04-02,2023,Washington Nationals,Atlanta Braves,4,1,Nationals Park
718747,2023-04-02,2023,New York Yankees,San Francisco Giants,6,0,Yankee Stadium
718744,2023-04-02,2023,Cincinnati Reds,Pittsburgh Pirates,3,1,Great American Ball Park
718741,2023-04-02,2023,Miami Marlins,New York Mets,1,5,loanDepot park
718745,2023-04-02,2023,Kansas City Royals,Minnesota Twins,4,7,Kauffman Stadium
718740,2023-04-02,2023,Houston Astros,Chicago White Sox,3,6,Minute Maid Park
718737,2023-04-02,2023,St. Louis Cardinals,Toronto Blue Jays,9,4,Busch Stadium
718738,2023-04-02,2023,Chicago Cubs,Milwaukee Brewers,5,9,Wrigley Field
718734,2023-04-02,2023,Oakland Athletics,Los Angeles Angels,0,6,Oakland Coliseum
718736,2023-04-02,2023,Los Angeles Dodgers,Arizona Diamondbacks,1,2,Dodger Stadium
718733,2023-04-02,2023,San Diego Padres,Colorado Rockies,3,1,Petco Park
718735,2023-04-02,2023,Seattle Mariners,Cleveland Guardians,5,6,T-Mobile Park
718739,2023-04-02,2023,Texas Rangers,Philadelphia Phillies,2,1,Globe Life Field
718731,2023-04-03,2023,Milwaukee Brewers,New York Mets,10,0,American Family Field
718730,2023-04-03,2023,Chicago White Sox,San Francisco Giants,3,12,Guaranteed Rate Field
718728,2023-04-03,2023,Cincinnati Reds,Chicago Cubs,7,6,Great American Ball Park
718729,2023-04-03,2023,Miami Marlins,Minnesota Twins,1,11,loanDepot park
718732,2023-04-03,2023,Washington Nationals,Tampa Bay Rays,2,6,Nationals Park
718725,2023-04-03,2023,New York Yankees,Philadelphia Phillies,8,1,Yankee Stadium
718724,2023-04-03,2023,Boston Red Sox,Pittsburgh Pirates,6,7,Fenway Park
718719,2023-04-03,2023,Kansas City Royals,Toronto Blue Jays,9,5,Kauffman Stadium
718727,2023-04-03,2023,St. Louis Cardinals,Atlanta Braves,4,8,Busch Stadium
718726,2023-04-03,2023,Texas Rangers,Baltimore Orioles,0,2,Globe Life Field
718723,2023-04-03,2023,Houston Astros,Detroit Tigers,6,7,Minute Maid Park
718721,2023-04-03,2023,Oakland Athletics,Cleveland Guardians,11,12,Oakland Coliseum
718722,2023-04-03,2023,San Diego Padres,Arizona Diamondbacks,5,4,Petco Park
718720,2023-04-03,2023,Seattle Mariners,Los Angeles Angels,3,7,T-Mobile Park
718718,2023-04-03,2023,Los Angeles Dodgers,Colorado Rockies,13,4,Dodger Stadium
718717,2023-04-04,2023,San Diego Padres,Arizona Diamondbacks,6,8,Petco Park
718716,2023-04-04,2023,Cincinnati Reds,Chicago Cubs,5,12,Great American Ball Park
718714,2023-04-04,2023,Miami Marlins,Minnesota Twins,1,0,loanDepot park
718715,2023-04-04,2023,Washington Nationals,Tampa Bay Rays,6,10,Nationals Park
718710,2023-04-04,2023,New York Yankees,Philadelphia Phillies,1,4,Yankee Stadium
718713,2023-04-04,2023,Boston Red Sox,Pittsburgh Pirates,1,4,Fenway Park
718708,2023-04-04,2023,Kansas City Royals,Toronto Blue Jays,1,4,Kauffman Stadium
718712,2023-04-04,2023,Milwaukee Brewers,New York Mets,9,0,American Family Field
718711,2023-04-04,2023,St. Louis Cardinals,Atlanta Braves,1,4,Busch Stadium
718709,2023-04-04,2023,Texas Rangers,Baltimore Orioles,2,7,Globe Life Field
718705,2023-04-04,2023,Houston Astros,Detroit Tigers,3,6,Minute Maid Park
718707,2023-04-04,2023,Oakland Athletics,Cleveland Guardians,4,3,Oakland Coliseum
718706,2023-04-04,2023,Seattle Mariners,Los Angeles Angels,11,2,T-Mobile Park
718703,2023-04-04,2023,Los Angeles Dodgers,Colorado Rockies,5,2,Dodger Stadium
718704,2023-04-05,2023,Washington Nationals,Tampa Bay Rays,2,7,Nationals Park
718699,2023-04-05,2023,New York Yankees,Philadelphia Phillies,4,2,Yankee Stadium
718701,2023-04-05,2023,Miami Marlins,Minnesota Twins,5,2,loanDepot park
718697,2023-04-05,2023,St. Louis Cardinals,Atlanta Braves,2,5,Busch Stadium
718702,2023-04-05,2023,Boston Red Sox,Pittsburgh Pirates,1,4,Fenway Park
718698,2023-04-05,2023,Milwaukee Brewers,New York Mets,7,6,American Family Field
718694,2023-04-05,2023,Texas Rangers,Baltimore Orioles,5,2,Globe Life Field
718696,2023-04-05,2023,Houston Astros,Detroit Tigers,8,2,Minute Maid Park
718695,2023-04-05,2023,Chicago White Sox,San Francisco Giants,7,3,Guaranteed Rate Field
718689,2023-04-05,2023,Oakland Athletics,Cleveland Guardians,4,6,Oakland Coliseum
718691,2023-04-05,2023,Seattle Mariners,Los Angeles Angels,3,4,T-Mobile Park
718692,2023-04-05,2023,Kansas City Royals,Toronto Blue Jays,0,3,Kauffman Stadium
718690,2023-04-06,2023,Detroit Tigers,Boston Red Sox,3,6,Comerica Park
718686,2023-04-06,2023,Kansas City Royals,Toronto Blue Jays,3,6,Kauffman Stadium
